
Preeti              ,preeti@123          ,202000.00
Aashna              ,12345678            ,90000.00
Haseena             ,password            ,90000.00
Roop                ,university          ,90000.00 
Shravya             ,maddy123            ,90000.00
Akshay              ,abcdefg             ,90000.00
Sameer              ,xyz123              ,90000.00
Ashutosh            ,ilovecs             ,90000.00
Rohit               ,saraf@123           ,90000.00
John                ,john_45             ,90000.00
Sakshi              ,despande78          ,90000.00
Jane                ,jane@78             ,90000.00
Michael             ,Cordero2002         ,90000.00
Devi                ,india40             ,90000.00
Sachi               ,sachi               ,18000.00
